ISR Log Started: 1761337556
START | Keyboard | seq=1 | 2025-10-25 01:55:58
END   | Keyboard | seq=1 | 2025-10-25 01:55:58
START | Mouse | seq=2 | 2025-10-25 01:55:58
END   | Mouse | seq=2 | 2025-10-25 01:55:59
START | Printer | seq=3 | 2025-10-25 01:55:59
END   | Printer | seq=3 | 2025-10-25 01:56:00
START | Keyboard | seq=4 | 2025-10-25 01:56:00
END   | Keyboard | seq=4 | 2025-10-25 01:56:00
START | Mouse | seq=5 | 2025-10-25 01:56:00
END   | Mouse | seq=5 | 2025-10-25 01:56:01
START | Keyboard | seq=6 | 2025-10-25 01:56:01
END   | Keyboard | seq=6 | 2025-10-25 01:56:02
START | Mouse | seq=7 | 2025-10-25 01:56:02
END   | Mouse | seq=7 | 2025-10-25 01:56:02
START | Keyboard | seq=8 | 2025-10-25 01:56:02
END   | Keyboard | seq=8 | 2025-10-25 01:56:03
START | Mouse | seq=10 | 2025-10-25 01:56:03
END   | Mouse | seq=10 | 2025-10-25 01:56:03
START | Printer | seq=9 | 2025-10-25 01:56:03
END   | Printer | seq=9 | 2025-10-25 01:56:04
START | Keyboard | seq=11 | 2025-10-25 01:56:04
END   | Keyboard | seq=11 | 2025-10-25 01:56:04
START | Keyboard | seq=12 | 2025-10-25 01:56:04
END   | Keyboard | seq=12 | 2025-10-25 01:56:05
START | Printer | seq=13 | 2025-10-25 01:56:05
END   | Printer | seq=13 | 2025-10-25 01:56:06
START | Mouse | seq=14 | 2025-10-25 01:56:06
END   | Mouse | seq=14 | 2025-10-25 01:56:06
START | Keyboard | seq=15 | 2025-10-25 01:56:06
END   | Keyboard | seq=15 | 2025-10-25 01:56:06
START | Mouse | seq=16 | 2025-10-25 01:56:07
END   | Mouse | seq=16 | 2025-10-25 01:56:07
START | Printer | seq=17 | 2025-10-25 01:56:07
END   | Printer | seq=17 | 2025-10-25 01:56:08
START | Keyboard | seq=18 | 2025-10-25 01:56:08
END   | Keyboard | seq=18 | 2025-10-25 01:56:08
START | Mouse | seq=19 | 2025-10-25 01:56:09
END   | Mouse | seq=19 | 2025-10-25 01:56:10
START | Keyboard | seq=20 | 2025-10-25 01:56:10
END   | Keyboard | seq=20 | 2025-10-25 01:56:10
START | Printer | seq=21 | 2025-10-25 01:56:10
END   | Printer | seq=21 | 2025-10-25 01:56:11
START | Mouse | seq=22 | 2025-10-25 01:56:11
END   | Mouse | seq=22 | 2025-10-25 01:56:11
START | Keyboard | seq=23 | 2025-10-25 01:56:11
END   | Keyboard | seq=23 | 2025-10-25 01:56:12
START | Printer | seq=24 | 2025-10-25 01:56:12
END   | Printer | seq=24 | 2025-10-25 01:56:13
START | Mouse | seq=25 | 2025-10-25 01:56:13
END   | Mouse | seq=25 | 2025-10-25 01:56:13
START | Keyboard | seq=26 | 2025-10-25 01:56:13
END   | Keyboard | seq=26 | 2025-10-25 01:56:13
START | Mouse | seq=27 | 2025-10-25 01:56:15
END   | Mouse | seq=27 | 2025-10-25 01:56:15
START | Keyboard | seq=29 | 2025-10-25 01:56:15
END   | Keyboard | seq=29 | 2025-10-25 01:56:16
START | Printer | seq=28 | 2025-10-25 01:56:16
END   | Printer | seq=28 | 2025-10-25 01:56:16
START | Mouse | seq=30 | 2025-10-25 01:56:17
END   | Mouse | seq=30 | 2025-10-25 01:56:17
START | Keyboard | seq=31 | 2025-10-25 01:56:17
END   | Keyboard | seq=31 | 2025-10-25 01:56:17
START | Printer | seq=32 | 2025-10-25 01:56:18
END   | Printer | seq=32 | 2025-10-25 01:56:19
START | Keyboard | seq=34 | 2025-10-25 01:56:19
END   | Keyboard | seq=34 | 2025-10-25 01:56:19
START | Mouse | seq=33 | 2025-10-25 01:56:19
END   | Mouse | seq=33 | 2025-10-25 01:56:20
START | Mouse | seq=35 | 2025-10-25 01:56:20
END   | Mouse | seq=35 | 2025-10-25 01:56:20
